Model,Avg_Pos,Avg_Neg,Margin,Avg_Rand_Neg,threshold_1,threshold_1.1,threshold_1.2,threshold_1.5,threshold_2,threshold_3
CLIP,0.30459874,0.29715599,0.00744276,0.14981945,0.73450620,0.08124750,0.01155538,0.00011995,0.00000000,0.00000000
HNC_1_full_small_ref_epoch1,0.6650051155090330,0.652838924407959,0.012166191101074200,0.009846611879765990,0.648,0.123,0.044,0.017,0.005,0.002
HNC_1_full_small_ref_epoch2,0.6695924072265630,0.6562331466674800,0.013359260559082100,0.01638796180486680,0.644,0.13,0.065,0.017,0.006,0.001
HNC_1_full_small_ref_epoch3,0.6624931182861330,0.6470194091796880,0.0154737091064453,0.019810345023870500,0.636,0.163,0.08,0.022,0.005,0.002
HNC_1_full_small_ref_epoch4,0.65483544921875,0.6388624725341800,0.015972976684570300,0.029871387407183600,0.632,0.162,0.089,0.028,0.01,0.004
HNC_1_full_small_ref_epoch5,0.6584659576416020,0.6428374328613280,0.015628524780273400,0.02364983595907690,0.63,0.163,0.086,0.027,0.009,0.004
HNC_1_full_small_ref_epoch6,0.6357293548583980,0.6188041954040530,0.016925159454345700,0.02795029990375040,0.623,0.193,0.117,0.04,0.015,0.007
HNC_1_full_small_ref_epoch7,0.6234176578521730,0.6036186904907230,0.019798967361450100,0.03032875619828700,0.612,0.234,0.136,0.054,0.023,0.007
HNC_1_full_small_ref_epoch8,0.6116211090087890,0.5912251472473150,0.020395961761474600,0.036806683987379100,0.619,0.248,0.151,0.061,0.029,0.014
HNC_1_full_small_ref_epoch9,0.6200451893806460,0.598147689819336,0.02189749956130980,0.02234334871172910,0.631,0.239,0.15,0.061,0.028,0.011
HNC_1_full_small_ref_epoch10,0.6092788591384890,0.5843824958801270,0.024896363258361900,0.03417222574353220,0.625,0.251,0.172,0.076,0.038,0.02
HNC_1_full_small_ref_epoch11,0.5977228823900220,0.5734960832595830,0.02422679913043970,0.028666356578469300,0.603,0.266,0.181,0.078,0.028,0.013
HNC_1_full_small_ref_epoch12,0.6013130073547360,0.57477814245224,0.026534864902496300,0.036010608077049300,0.613,0.27,0.186,0.077,0.033,0.022
HNC_KL_1_S_full_epoch1,0.6602850532531740,0.6481923522949220,0.01209270095825200,0.021703146398067500,0.646,0.122,0.051,0.018,0.007,0.003
HNC_KL_1_S_full_epoch2,0.659093090057373,0.6464559936523440,0.012637096405029300,0.020866837352514300,0.638,0.129,0.065,0.018,0.003,0.001
HNC_KL_1_S_full_epoch3,0.6521551208496090,0.637296630859375,0.014858489990234300,0.020808745175600100,0.619,0.164,0.083,0.026,0.003,0.001
